NOR;CPP;DEF;DUD;PER;MAXIMO_DIAS_ATRASO_DDIRECTASBS.1;MAXIMO_DIAS_ATRASO_DDIRECTASBS.2;MAXIMO_DIAS_ATRASO_DDIRECTASBS.3;Documentos Impagos;Dias de atraso de PAGO;al_menos_uno_de_los_solicitantes_vive_en_la_garantia_;motivo_principal_del_prestamo;sector_detalle;sector;Distrito de Garantia
0;0;0;0;100;0;0;0;6731.31;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;trujillo
100;0;0;0;0;0;0;0;54.1;;FALSO;Capital de trabajo;otros servicios: otros;no dependiente;santiago de surco
100;0;0;0;0;0;0;0;1603.62;;VERDADERO;Lanzar nuevo negocio;;dependiente;callao
100;0;0;0;0;0;0;0;0;5;VERDADERO;Compra de deuda;comerciante: bodega;no dependiente;san juan de lurigancho
100;0;0;0;0;0;3;3;0;;VERDADERO;Compra de deuda;otros servicios: servicios de educacion y capacitacion;no dependiente;pueblo libre
100;0;0;0;0;0;0;0;0;4;FALSO;Compra de deuda;;dependiente;san miguel
0;0;0;100;0;107;76;46;0;;VERDADERO;Compra de deuda;comerciante: otros;no dependiente;san martin de porres
0;100;0;0;0;29;28;29;1346.14;;FALSO;Construir o remodelar;otros servicios: arrendamiento;;carabayllo
0;0;0;0;100;0;0;0;1357.69;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;lurin
0;0;0;0;0;0;0;0;256.4;;VERDADERO;Lanzar nuevo negocio;;dependiente;ventanilla
72.43;0;0;0;27.57;0;7;0;701.65;;VERDADERO;Construir o remodelar;comerciante: otros;no dependiente;villa el salvador
0;0;15.76;84.24;0;59;76;46;0;;VERDADERO;Compra de deuda;otros servicios: servicio de transporte de carga;no dependiente;puente piedra
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;;no dependiente;san juan de lurigancho
100;0;0;0;0;0;0;0;0;3;FALSO;Construir o remodelar;otros servicios: otros;no dependiente;la molina
100;0;0;0;0;3;2;0;12.61;;VERDADERO;Construir o remodelar;comerciante: otros;no dependiente;los olivos
13.93;83.92;2.15;0;0;46;46;16;28.42;;VERDADERO;Construir o remodelar;otros servicios: arrendamiento;;villa el salvador
0;0;0;0;0;0;0;0;17556.25;;VERDADERO;Compra de deuda;;dependiente;miraflores
0;0;0;0;0;0;0;0;54.13;;VERDADERO;Capital de trabajo;otros servicios: taller automotriz;no dependiente;pueblo libre
0;0;0;0;0;0;0;0;354.57;;VERDADERO;Construir o remodelar;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;la esperanza
100;0;0;0;0;0;0;12;424.65;8;VERDADERO;Capital de trabajo;comerciante: venta de articulos de belleza;no dependiente;ate
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: otros;no dependiente;cercado de lima
0;0;0;3.15;96.85;0;0;0;675.48;1;VERDADERO;Capital de trabajo;otros servicios: salud y estetica;no dependiente;san martin de porres
100;0;0;0;0;0;0;0;87.97;;FALSO;Construir o remodelar;otros servicios: arrendamiento;;san juan de miraflores
0;0;0;0;100;187;156;126;2121.38;;VERDADERO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;trujillo
0;0;0;10.06;89.94;0;0;0;498.97;4;VERDADERO;Lanzar nuevo negocio;otros servicios: arrendamiento;;san miguel
0;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;la perla
100;0;0;0;0;0;0;0;0;33;VERDADERO;Construir o remodelar;;dependiente;ate
100;0;0;0;0;0;0;0;1120.01;;VERDADERO;Construir o remodelar;;dependiente;san juan de lurigancho
0;0;0;0;100;0;0;0;431.4;31;FALSO;Construir o remodelar;otros servicios: restaurante/fuente de soda;no dependiente;san juan de lurigancho
89.57;0;10.43;0;0;56;57;27;0;9;VERDADERO;Compra de deuda;comerciante: venta de ropa cuero y calzado;no dependiente;santiago de surco
50.89;49.11;0;0;0;0;0;0;491.01;;VERDADERO;Compra de deuda;otros servicios: servicio tecnico industrial;no dependiente;san miguel
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;;dependiente;chorrillos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: publicidad digital;no dependiente;callao
100;0;0;0;0;0;0;0;0;;FALSO;Otros motivos personales;otros servicios: consultoria empresarial;no dependiente;san borja
100;0;0;0;0;0;0;0;14.49;;FALSO;Capital de trabajo;otros servicios: servicio de transporte privado para empresas;no dependiente;cercado de lima
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;comerciante: venta de ropa cuero y calzado;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;7843.38;;VERDADERO;Construir o remodelar;;dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;construccion: construccion de vivienda;no dependiente;santiago de surco
0;0;0;64.35;35.65;17;0;0;2840.74;;FALSO;Capital de trabajo;otros servicios: servicios de educacion y capacitacion;no dependiente;victor larco herrera
100;0;0;0;0;0;0;0;0;0;VERDADERO;Compra de deuda;otros servicios: consultoria empresarial;no dependiente;santiago de surco
100;0;0;0;0;0;0;0;8415.05;;FALSO;Otros motivos personales;comerciante: venta de alimentos mayorista;no dependiente;comas
100;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;comerciante: otros;no dependiente;los olivos
0;0;0;0;100;268;237;207;0;;VERDADERO;Construir o remodelar;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;villa el salvador
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;comerciante: otros;no dependiente;san juan de lurigancho
0;0;40.68;59.32;0;117;86;56;87.1;7;FALSO;Compra de deuda;otros servicios: arrendamiento;;san martin de porres
100;0;0;0;0;0;0;0;22268.87;;VERDADERO;Capital de trabajo;otros servicios: servicio de transporte de carga;no dependiente;trujillo
70.4;0;0;0;29.6;0;0;0;28.57;;VERDADERO;Construir o remodelar;otros servicios: otros;no dependiente;villa el salvador
0;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;comerciante: otros;no dependiente;la victoria
100;0;0;0;0;0;0;0;11.5;;FALSO;Construir o remodelar;;dependiente;san juan de lurigancho
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;comerciante: venta de articulos de libreria;no dependiente;villa el salvador
100;0;0;0;0;0;0;0;107.01;;VERDADERO;Expansión del Negocio;comerciante: bodega;no dependiente;san martin de porres
